#{"t_start": 1760973612.715055, "env_id": "Pendulum-v1"}
r,l,t
-888.990408,200,67.098854
-1188.285014,200,67.256541
-1811.45642,200,67.647846
-1469.547811,200,68.0802
-957.981312,200,68.543865
-964.377249,200,68.907801
-778.591543,200,69.089064
-1191.970325,200,69.515567
-1251.042689,200,69.987565
-1377.794212,200,70.395449
-932.836656,200,70.584812
-1355.642597,200,71.056623
-1105.043248,200,71.409193
-892.959152,200,71.795752
-859.575114,200,72.267333
-1042.9055,200,72.435624
-748.109978,200,72.797476
-1583.489217,200,73.169452
-1077.497895,200,73.62425
-1065.116425,200,73.803787
-901.737774,200,74.254184
-1069.331365,200,74.758635
-885.349606,200,75.266908
-1419.489709,200,75.777824
-1322.550828,200,75.972226
-903.156174,200,76.347006
-963.931821,200,76.783396
-1422.965175,200,77.19853
-1453.112296,200,77.894884
-1648.09588,200,78.120726
-1204.854156,200,78.778102
-1056.47915,200,79.283265
-986.861531,200,79.710147
-862.821337,200,79.877493
-896.463672,200,80.424377
-790.108526,200,81.028041
-794.644443,200,81.55394
-1494.008342,200,82.447343
-1173.264332,200,82.862057
-1382.842738,200,83.724999
-1069.803142,200,84.397177
-1086.470216,200,85.160084
-1150.735791,200,85.375782
-1320.574923,200,85.896041
-941.231491,200,86.399426
-1171.80514,200,87.321761
-1370.455233,200,88.362313
-1047.716986,200,88.64344
-909.781196,200,89.875763
-1572.873623,200,91.126793
-969.99604,200,92.376811
-890.624221,200,92.676645
-774.542773,200,93.432582
-1488.240699,200,93.957213
-1327.883378,200,94.863281
-1536.070537,200,95.259053
-1013.168702,200,95.460426
-1794.71605,200,95.910269
-1345.415867,200,96.25404
-1263.853402,200,96.604289
-1012.783701,200,97.060174
-1440.0656,200,97.253531
-1584.006181,200,97.631683
-882.472187,200,98.24859
-1041.032764,200,98.693079
-1578.911266,200,98.830309
-896.139531,200,99.151329
-1797.769277,200,99.45663
-1295.765044,200,99.78984
-1577.137464,200,100.109716
-881.096102,200,100.264318
-1461.154064,200,100.600091
-1000.223891,200,100.924727
-876.101516,200,101.28774
-1022.712017,200,101.422926
-1183.956511,200,101.763628
-881.4916,200,102.102395
-889.258843,200,102.419866
-1672.44139,200,102.757752
-988.417331,200,102.910755
-995.763426,200,103.244207
-1310.515349,200,103.562484
-1431.582893,200,103.871117
-1043.033508,200,104.018588
-1196.890829,200,104.4116
-992.339851,200,104.803083
